date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,ctr,inline_link_clicks,age,gender,purchases,purchase_value,checkouts_initiated,purchase_roas,cpc,inline_link_click_ctr,cpa,cvr
2025-11-20,2025-11-20,0.521109,3,3,1.0,173.702993,0,0.0,0,18-24,female,,,,,,,,
2025-11-20,2025-11-20,0.0,1,1,1.0,0.0,0,0.0,0,18-24,male,,,,,,,,
2025-11-20,2025-11-20,0.691472,14,6,2.333333,49.390824,0,0.0,0,25-34,female,,,,,,,,
2025-11-20,2025-11-20,2.034329,27,23,1.173913,75.345529,2,7.407407,2,35-44,female,,,,,1.017165,7.407407,,
2025-11-20,2025-11-20,0.15032,3,3,1.0,50.106633,0,0.0,0,35-44,male,,,,,,,,
2025-11-20,2025-11-20,12.887426,130,81,1.604938,99.134045,9,6.923077,8,45-54,female,,,,,1.431936,6.153846,,
2025-11-20,2025-11-20,0.410874,9,7,1.285714,45.65271,1,11.111111,1,45-54,male,,,,,0.410874,11.111111,,
2025-11-20,2025-11-20,13.969729,202,156,1.294872,69.157075,19,9.405941,20,55-64,female,,,,,0.735249,9.90099,,
2025-11-20,2025-11-20,1.112367,19,14,1.357143,58.545644,0,0.0,0,55-64,male,,,,,,,,
2025-11-20,2025-11-20,0.0,1,1,1.0,0.0,0,0.0,0,55-64,unknown,,,,,,,,
2025-11-20,2025-11-20,14.801499,146,108,1.351852,101.380132,13,8.90411,11,65+,female,1.0,3.99,,0.269567,1.138577,7.534247,14.801499,0.09090909090909091
2025-11-20,2025-11-20,0.390832,9,7,1.285714,43.425748,1,11.111111,1,65+,male,,,,,0.390832,11.111111,,
2025-11-20,2025-11-20,0.020043,1,1,1.0,20.042653,0,0.0,0,65+,unknown,,,,,,,,
2025-11-21,2025-11-21,0.964673,4,4,1.0,241.168315,0,0.0,0,18-24,female,,,,,,,,
2025-11-21,2025-11-21,0.200974,6,3,2.0,33.495599,0,0.0,0,18-24,male,,,,,,,,
2025-11-21,2025-11-21,1.527399,58,32,1.8125,26.334471,1,1.724138,1,25-34,female,,,,,1.527399,1.724138,,
2025-11-21,2025-11-21,0.040195,3,3,1.0,13.39824,0,0.0,0,25-34,male,,,,,,,,
2025-11-21,2025-11-21,16.67076,256,168,1.52381,65.120155,15,5.859375,11,35-44,female,,,,,1.111384,4.296875,,
2025-11-21,2025-11-21,1.256085,25,19,1.315789,50.243399,1,4.0,0,35-44,male,,,,,1.256085,,,
2025-11-21,2025-11-21,0.020097,1,1,1.0,20.09736,0,0.0,0,35-44,unknown,,,,,,,,
2025-11-21,2025-11-21,54.564331,758,504,1.503968,71.984606,55,7.255937,50,45-54,female,3.0,98.87,,1.81199,0.992079,6.596306,18.188110333333334,0.06
2025-11-21,2025-11-21,2.612657,63,35,1.8,41.470742,1,1.587302,1,45-54,male,,,,,2.612657,1.587302,,
2025-11-21,2025-11-21,0.030146,1,1,1.0,30.146039,0,0.0,0,45-54,unknown,,,,,,,,
2025-11-21,2025-11-21,97.512389,1239,800,1.54875,78.702493,127,10.250202,111,55-64,female,6.0,134.71,,1.381465,0.767814,8.958838,16.252064833333332,0.05405405405405406
2025-11-21,2025-11-21,7.958554,107,62,1.725806,74.379013,6,5.607477,6,55-64,male,1.0,19.95,,2.506737,1.326426,5.607477,7.958554,0.16666666666666666
2025-11-21,2025-11-21,0.140682,5,3,1.666667,28.136303,0,0.0,0,55-64,unknown,,,,,,,,
2025-11-21,2025-11-21,69.999104,857,547,1.566728,81.679234,67,7.81797,63,65+,female,2.0,31.92,,0.456006,1.044763,7.351225,34.999552,0.031746031746031744
2025-11-21,2025-11-21,3.979277,64,41,1.560976,62.176206,0,0.0,0,65+,male,,,,,,,,
2025-11-21,2025-11-21,0.552677,9,7,1.285714,61.408599,0,0.0,0,65+,unknown,,,,,,,,
