date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,cpc,ctr,inline_link_clicks,inline_link_click_ctr,publisher_platform,platform_position,purchases,purchase_value,checkouts_initiated,purchase_roas,cpa,cvr
2025-11-20,2025-11-20,4.218978,80,69,1.15942,52.737231,7,0.602711,8.75,6,7.5,facebook,facebook_reels,,,,,,
2025-11-20,2025-11-20,0.15032,2,2,1.0,75.159949,0,,0.0,0,,facebook,facebook_stories,,,,,,
2025-11-20,2025-11-20,40.085306,399,315,1.266667,100.464426,35,1.145294,8.77193,33,8.270677,facebook,feed,1.0,3.99,,0.099538,40.085306,0.030303030303030304
2025-11-20,2025-11-20,0.30064,17,17,1.0,17.684694,0,,0.0,0,,facebook,instream_video,,,,,,
2025-11-20,2025-11-20,0.591258,16,9,1.777778,36.953642,1,0.591258,6.25,1,6.25,facebook,marketplace,,,,,,
2025-11-20,2025-11-20,0.120256,24,16,1.5,5.010663,1,0.120256,4.166667,1,4.166667,facebook,right_hand_column,,,,,,
2025-11-20,2025-11-20,0.020043,3,3,1.0,6.680884,0,,0.0,0,,facebook,search,,,,,,
2025-11-20,2025-11-20,0.741578,19,13,1.461538,39.03043,1,0.741578,5.263158,2,10.526316,instagram,feed,,,,,,
2025-11-20,2025-11-20,0.741578,4,4,1.0,185.39454,0,,0.0,0,,instagram,instagram_reels,,,,,,
2025-11-20,2025-11-20,0.020043,1,1,1.0,20.042653,0,,0.0,0,,instagram,instagram_stories,,,,,,
2025-11-21,2025-11-21,0.040195,1,1,1.0,40.194719,0,,0.0,0,,facebook,facebook_notification,,,,,,
2025-11-21,2025-11-21,0.180876,10,10,1.0,18.087624,1,0.180876,10.0,0,,facebook,facebook_profile_feed,,,,,,
2025-11-21,2025-11-21,32.145727,491,391,1.255754,65.469912,40,0.803643,8.14664,37,7.535642,facebook,facebook_reels,,,,,,
2025-11-21,2025-11-21,2.160466,19,17,1.117647,113.708745,3,0.720155,15.789474,2,10.526316,facebook,facebook_stories,,,,,,
2025-11-21,2025-11-21,202.078951,2263,1588,1.425063,89.296929,221,0.914384,9.765798,197,8.705259,facebook,feed,11.0,265.5,,1.313843,18.370813727272726,0.05583756345177665
2025-11-21,2025-11-21,1.457059,63,47,1.340426,23.127914,0,,0.0,0,,facebook,instream_video,1.0,19.95,,13.691968,1.457059,
2025-11-21,2025-11-21,3.657719,148,106,1.396226,24.714321,0,,0.0,1,0.675676,facebook,marketplace,,,,,,
2025-11-21,2025-11-21,1.035014,278,120,2.316667,3.723072,1,1.035014,0.359712,1,0.359712,facebook,right_hand_column,,,,,,
2025-11-21,2025-11-21,0.562726,39,37,1.054054,14.428874,1,0.562726,2.564103,1,2.564103,facebook,search,,,,,,
2025-11-21,2025-11-21,8.390648,95,84,1.130952,88.322607,3,2.796883,3.157895,2,2.105263,instagram,feed,,,,,,
2025-11-21,2025-11-21,3.064847,24,21,1.142857,127.701973,1,3.064847,4.166667,0,,instagram,instagram_reels,,,,,,
2025-11-21,2025-11-21,3.255772,25,20,1.25,130.23089,2,1.627886,8.0,2,8.0,instagram,instagram_stories,,,,,,
2025-11-22,2025-11-22,0.180016,4,4,1.0,45.003966,1,0.180016,25.0,1,25.0,facebook,facebook_notification,,,,,,
2025-11-22,2025-11-22,0.430038,26,26,1.0,16.539919,2,0.215019,7.692308,2,7.692308,facebook,facebook_profile_feed,,,,,,
2025-11-22,2025-11-22,37.553309,716,604,1.18543,52.448756,47,0.799007,6.564246,39,5.446927,facebook,facebook_reels,1.0,64.92,,1.728742,37.553309,0.02564102564102564
2025-11-22,2025-11-22,2.550225,31,30,1.033333,82.265314,3,0.850075,9.677419,4,12.903226,facebook,facebook_stories,,,,,,
2025-11-22,2025-11-22,272.684031,3587,2607,1.375911,76.020081,235,1.160358,6.551436,197,5.492055,facebook,feed,7.0,149.65,,0.548804,38.95486157142857,0.03553299492385787
2025-11-22,2025-11-22,1.730152,91,64,1.421875,19.012665,0,,0.0,0,,facebook,instream_video,,,,,,
2025-11-22,2025-11-22,2.440215,170,134,1.268657,14.354206,6,0.406703,3.529412,6,3.529412,facebook,marketplace,,,,,,
2025-11-22,2025-11-22,1.900167,447,205,2.180488,4.250934,0,,0.0,0,,facebook,right_hand_column,,,,,,
2025-11-22,2025-11-22,1.400123,88,86,1.023256,15.910493,7,0.200018,7.954545,7,7.954545,facebook,search,,,,,,
2025-11-22,2025-11-22,11.180985,226,201,1.124378,49.473386,6,1.863498,2.654867,6,2.654867,instagram,feed,,,,,,
2025-11-22,2025-11-22,0.020002,2,2,1.0,10.000881,0,,0.0,0,,instagram,instagram_explore_grid_home,,,,,,
2025-11-22,2025-11-22,3.74033,68,60,1.133333,55.004847,8,0.467541,11.764706,8,11.764706,instagram,instagram_reels,,,,,,
2025-11-22,2025-11-22,0.030003,2,2,1.0,15.001322,0,,0.0,0,,instagram,instagram_search,,,,,,
2025-11-22,2025-11-22,4.580404,75,66,1.136364,61.072049,2,2.290202,2.666667,2,2.666667,instagram,instagram_stories,,,,,,
2025-11-23,2025-11-23,0.180057,4,4,1.0,45.014142,0,,0.0,0,,facebook,facebook_notification,,,,,,
2025-11-23,2025-11-23,1.010317,39,39,1.0,25.905575,0,,0.0,0,,facebook,facebook_profile_feed,,,,,,
2025-11-23,2025-11-23,90.218344,1460,1238,1.179321,61.793386,97,0.930086,6.643836,91,6.232877,facebook,facebook_reels,7.0,68.85,,0.763149,12.888334857142857,0.07692307692307693
2025-11-23,2025-11-23,6.942181,77,76,1.013158,90.158195,4,1.735545,5.194805,4,5.194805,facebook,facebook_stories,,,,,,
2025-11-23,2025-11-23,600.158554,8297,6315,1.313856,72.334404,422,1.422177,5.086176,337,4.061709,facebook,feed,22.0,663.99,,1.106358,27.27993427272727,0.06528189910979229
2025-11-23,2025-11-23,2.540798,90,69,1.304348,28.231092,1,2.540798,1.111111,1,1.111111,facebook,instream_video,,,,,,
2025-11-23,2025-11-23,9.012832,521,426,1.223005,17.299101,7,1.287547,1.34357,8,1.535509,facebook,marketplace,,,,,,
2025-11-23,2025-11-23,2.010632,574,299,1.919732,3.502843,0,,0.0,0,,facebook,right_hand_column,,,,,,
2025-11-23,2025-11-23,3.981251,246,230,1.069565,16.183946,1,3.981251,0.406504,1,0.406504,facebook,search,,,,,,
2025-11-23,2025-11-23,48.365195,693,665,1.042105,69.791046,38,1.272768,5.483405,38,5.483405,instagram,feed,4.0,205.64,,4.251818,12.09129875,0.10526315789473684
2025-11-23,2025-11-23,13.904368,213,196,1.086735,65.278725,14,0.993169,6.57277,13,6.103286,instagram,instagram_reels,,,,,,
2025-11-23,2025-11-23,0.020006,5,5,1.0,4.001257,0,,0.0,0,,instagram,instagram_search,,,,,,
2025-11-23,2025-11-23,17.395465,216,192,1.125,80.534561,9,1.932829,4.166667,9,4.166667,instagram,instagram_stories,,,,,,
2025-11-24,2025-11-24,1.820063,29,29,1.0,62.760809,2,0.910032,6.896552,2,6.896552,facebook,facebook_notification,,,,,,
2025-11-24,2025-11-24,0.730025,37,36,1.027778,19.730418,0,,0.0,0,,facebook,facebook_profile_feed,,,,,,
2025-11-24,2025-11-24,77.642707,1548,1333,1.16129,50.156788,71,1.093559,4.586563,70,4.521964,facebook,facebook_reels,5.0,87.78,,1.130563,15.5285414,0.07142857142857142
2025-11-24,2025-11-24,7.880275,84,82,1.02439,93.812795,1,7.880275,1.190476,1,1.190476,facebook,facebook_stories,,,,,,
2025-11-24,2025-11-24,688.454006,13908,10496,1.325076,49.500576,633,1.087605,4.551337,513,3.688525,facebook,feed,14.0,183.61,,0.266699,49.175286142857146,0.02729044834307992
2025-11-24,2025-11-24,4.350152,352,271,1.298893,12.358385,5,0.87003,1.420455,5,1.420455,facebook,instream_video,,,,,,
2025-11-24,2025-11-24,8.130283,578,417,1.386091,14.066234,7,1.161469,1.211073,7,1.211073,facebook,marketplace,,,,,,
2025-11-24,2025-11-24,4.240148,1201,551,2.179673,3.530514,2,2.120074,0.166528,2,0.166528,facebook,right_hand_column,3.0,135.79,,32.024827,1.4133826666666665,1.5
2025-11-24,2025-11-24,3.010105,192,181,1.060773,15.67763,4,0.752526,2.083333,4,2.083333,facebook,search,,,,,,
2025-11-24,2025-11-24,37.631312,463,428,1.081776,81.277132,16,2.351957,3.455724,16,3.455724,instagram,feed,,,,,,
2025-11-24,2025-11-24,0.030001,2,2,1.0,15.000523,0,,0.0,0,,instagram,instagram_explore,,,,,,
2025-11-24,2025-11-24,0.01,1,1,1.0,10.000349,0,,0.0,0,,instagram,instagram_explore_grid_home,,,,,,
2025-11-24,2025-11-24,13.920485,232,204,1.137255,60.002092,12,1.16004,5.172414,12,5.172414,instagram,instagram_reels,1.0,16.99,,1.220503,13.920485,0.08333333333333333
2025-11-24,2025-11-24,0.020001,2,2,1.0,10.000349,0,,0.0,0,,instagram,instagram_search,,,,,,
2025-11-24,2025-11-24,12.500436,168,154,1.090909,74.407356,9,1.388937,5.357143,9,5.357143,instagram,instagram_stories,,,,,,
2025-11-25,2025-11-25,0.660384,23,23,1.0,28.712355,0,,0.0,0,,facebook,facebook_notification,,,,,,
2025-11-25,2025-11-25,0.740431,26,26,1.0,28.478105,0,,0.0,0,,facebook,facebook_profile_feed,,,,,,
