date_start,spend,impressions,inline_link_clicks,purchases,purchase_value,checkouts_initiated,snapshot_asof
2026-06-22,2087.48,124484,1327,39.0,2132.16,486.0,2026-07-06
2026-06-23,2107.29,115421,1305,34.0,2085.29,429.0,2026-07-06
2026-06-24,2001.26,75150,962,30.0,2085.5,382.0,2026-07-06
2026-06-25,1984.66,79022,1001,36.0,2144.32,347.0,2026-07-06
2026-06-26,2013.7,88553,935,20.0,1390.57,325.0,2026-07-06
2026-06-27,2325.88,101953,1179,24.0,1584.64,441.0,2026-07-06
2026-06-28,2305.3,102113,1248,22.0,1083.19,459.0,2026-07-06
2026-06-29,2118.26,93143,1033,36.0,2191.75,341.0,2026-07-06
2026-06-30,2161.8,95633,1082,32.0,1955.58,370.0,2026-07-06
2026-07-01,1976.31,93549,1092,32.0,1641.92,349.0,2026-07-06
2026-07-02,2200.37,97975,1099,20.0,1032.28,349.0,2026-07-06
2026-07-03,2192.7,94828,1058,28.0,1600.28,360.0,2026-07-06
2026-07-04,2164.51,92349,1082,37.0,2116.23,379.0,2026-07-06
2026-07-05,2143.47,93422,1120,27.0,1671.54,384.0,2026-07-06
