campaign_id,campaign_name,date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,cpc,ctr,inline_link_clicks,inline_link_click_ctr,purchases,purchase_value,checkouts_initiated,purchase_roas,cpa,cvr
6972562335830,Magic - Test Sales Campaign,2025-11-20,2025-11-20,46.99,565,409,1.381418,83.168142,45,1.044222,7.964602,43,7.610619,1.0,3.99,,0.084912,46.99,0.023255813953488372
6972562335830,Magic - Test Sales Campaign,2025-11-21,2025-11-21,258.03,3456,2283,1.513798,74.661458,273,0.945165,7.899306,243,7.03125,12.0,285.45,,1.106267,21.502499999999998,0.04938271604938271
6972562335830,Magic - Test Sales Campaign,2025-11-22,2025-11-22,340.42,5533,3681,1.503124,61.525393,317,1.07388,5.729261,272,4.915959,8.0,214.57,,0.63031,42.5525,0.029411764705882353
6972562335830,Magic - Test Sales Campaign,2025-11-23,2025-11-23,795.74,12435,8822,1.409544,63.991958,593,1.341889,4.768798,502,4.036992,33.0,938.48,,1.17938,24.113333333333333,0.06573705179282868
6972562335830,Magic - Test Sales Campaign,2025-11-24,2025-11-24,860.37,18797,13359,1.407066,45.771666,762,1.129094,4.053838,641,3.410119,23.0,424.17,,0.493009,37.407391304347826,0.0358814352574103
6972562335830,Magic - Test Sales Campaign,2025-11-25,2025-11-25,807.95,20572,14773,1.39254,39.274256,728,1.109821,3.538791,581,2.824227,22.0,485.11,,0.600421,36.725,0.0378657487091222
6972562335830,Magic - Test Sales Campaign,2025-11-26,2025-11-26,822.26,19779,14421,1.371542,41.572375,702,1.171311,3.549219,611,3.089135,26.0,510.91,,0.621348,31.625384615384615,0.0425531914893617
6976510154030,ASC - Magic Portraits - CC ($35),2025-11-26,2025-11-26,90.11,2681,2147,1.248719,33.610593,100,0.9011,3.729952,84,3.133159,,,,,,
6976513156630,ASC - Magic Portraits,2025-11-26,2025-11-26,93.09,3172,2764,1.147612,29.347415,128,0.727266,4.035309,108,3.404792,3.0,47.88,,0.514341,31.03,0.027777777777777776
6972562335830,Magic - Test Sales Campaign,2025-11-27,2025-11-27,1253.2,29544,21225,1.391943,42.418088,1138,1.10123,3.851882,949,3.212158,37.0,1130.47,,0.902067,33.87027027027027,0.03898840885142255
6976510154030,ASC - Magic Portraits - CC ($35),2025-11-27,2025-11-27,102.62,2547,2045,1.245477,40.290538,118,0.869661,4.632901,104,4.083235,,,,,,
6976513156630,ASC - Magic Portraits,2025-11-27,2025-11-27,324.61,13027,10472,1.243984,24.918247,381,0.851995,2.924695,292,2.241498,3.0,47.9,,0.147562,108.20333333333333,0.010273972602739725
6972562335830,Magic - Test Sales Campaign,2025-11-28,2025-11-28,2235.79,33316,22873,1.456565,67.108596,1772,1.261733,5.318766,1492,4.478329,64.0,2436.38,,1.089718,34.93421875,0.04289544235924933
6976510154030,ASC - Magic Portraits - CC ($35),2025-11-28,2025-11-28,111.68,2073,1637,1.266341,53.873613,99,1.128081,4.775687,87,4.196816,7.0,195.51,,1.750627,15.954285714285716,0.08045977011494253
6976513156630,ASC - Magic Portraits,2025-11-28,2025-11-28,303.52,7249,6073,1.193644,41.870603,336,0.903333,4.635122,255,3.517727,14.0,381.21,,1.255963,21.68,0.054901960784313725
6972562335830,Magic - Test Sales Campaign,2025-11-29,2025-11-29,946.9,14804,9096,1.627529,63.962443,964,0.982261,6.511754,822,5.552553,55.0,1575.76,,1.664125,17.216363636363635,0.06690997566909976
6976510154030,ASC - Magic Portraits - CC ($35),2025-11-29,2025-11-29,56.75,1362,1164,1.170103,41.666667,76,0.746711,5.580029,61,4.478708,1.0,11.97,,0.210925,56.75,0.01639344262295082
6976513156630,ASC - Magic Portraits,2025-11-29,2025-11-29,54.0,1220,1048,1.164122,44.262295,86,0.627907,7.04918,61,5.0,2.0,67.83,,1.256111,27.0,0.03278688524590164
